Date,Shift,Total,Accounts,Max balance,Richest,Top 5% wealth,Top 5% ownership,Top 5% accounts,Top 10% wealth,Top 10% ownership,Top 10% accounts,Top 25% wealth,Top 25% ownership,Top 25% accounts,Top 50% wealth,Top 50% ownership,Top 50% accounts
2020-11-20-11_00_11,0,3194789,330,163066,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,1672423,0.5234846495339754,17,2334291,0.7306557647469051,33,3069622,0.9608215127822213,83,3154732,0.9874617697757192,165
2020-11-22-13_43_38,0,4249717,341,182666,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,1968923,0.46330685078559347,17,2972110,0.6993665695856924,34,4106488,0.9662968145878891,85,4206017,0.9897169623294916,171
2020-12-07-21_55_21,0,6806460,368,233542,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,2819032,0.41417006784730975,18,4577914,0.6725836925509002,37,6613284,0.9716187269153128,92,6751758,0.9919632231732795,184
2020-12-07-22_17_09,0,6806462,368,233542,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,2819032,0.4141699461482338,18,4577914,0.6725834949199746,37,6613284,0.971618441416407,92,6751759,0.9919630786155862,184
2020-12-08-10_28_26,0,6811966,370,233542,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,2917093,0.4282307046159655,19,4577890,0.6720365310102839,37,6623760,0.9723712655054356,93,6758237,0.9921125560521001,185
2020-12-09-10_29_25,0,6928994,372,233542,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,2922044,0.42171258915796433,19,4600726,0.6639818132329166,37,6732796,0.9716844898408051,93,6875201,0.9922365353469782,186
2020-12-10-10_29_52,0,6932250,374,233542,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,2922030,0.4215124959428757,19,4595710,0.6629463738324498,37,6736530,0.9717667423996538,94,6877439,0.9920933318908003,187
2020-12-11-10_30_33,0,6938256,374,233542,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,2911526,0.41963369469215317,19,4593792,0.6620960656395498,37,6742524,0.9717894525656015,94,6883438,0.9920991672835364,187
2020-12-12-10_29_33,0,6938256,374,233542,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,2911526,0.41963369469215317,19,4593792,0.6620960656395498,37,6742524,0.9717894525656015,94,6883438,0.9920991672835364,187
2020-12-13-10_29_57,0,6944268,377,233542,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,2912526,0.4194144004810874,19,4678478,0.6737179498256691,38,6748510,0.9718101317518275,94,6891434,0.9923917106885852,189
2020-12-14-10_31_19,0,8140324,379,253142,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,3280920,0.4030453824688059,19,5409359,0.6645139677487039,38,7940391,0.9754391839931679,95,8086893,0.9934362563455705,190
2020-12-15-10_31_12,0,8143328,385,253142,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,3280902,0.4028944922763764,19,5507607,0.6763336807752309,39,7943307,0.9754374378632421,96,8090319,0.9934904992160454,193
2020-12-16-10_53_40,0,8145335,386,253140,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,3280857,0.4027896949603669,19,5508062,0.6762228932266138,39,7949762,0.9759895694897754,97,8092409,0.9935022930303051,193
2020-12-17-10_32_30,0,8245337,387,253140,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,3280853,0.39790405170825643,19,5511740,0.6684675229162859,39,8044750,0.9756726741429732,97,8192402,0.9935800077061738,194
2020-12-18-10_35_54,0,8252839,387,253140,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,3280853,0.39754234876022665,19,5511791,0.66786605191256,39,8052248,0.9756943034996806,97,8199902,0.9935856012700599,194
2020-12-19-10_34_54,0,8256347,388,253140,a2d73cf3b37a62276ade44a96860495510d0e7d7c468950d4e49ac8a62b3d31d,3280853,0.39737343888283766,19,5509787,0.6673395631264044,39,8053744,0.9754609393234078,97,8201904,0.9934059215292187,194
